point_id,phase,boundary,comparison,role,slot,order,variant,mode,target_bytes,physical_batches,writers
b00199,boundary,bytes_4194304_-1,pwritev_full_1m,baseline,3,BAAB,k_pwrite,process,4194303,1024,4
b00200,boundary,bytes_4194304_-1,pwritev_full_1m,candidate,4,BAAB,pwritev_full_1m,process,4194303,1024,4
b00201,boundary,bytes_4194304_-1,pwritev_full_4m,baseline,1,ABBA,k_pwrite,process,4194303,1024,4
b00202,boundary,bytes_4194304_-1,pwritev_full_4m,candidate,2,ABBA,pwritev_full_4m,process,4194303,1024,4
b00203,boundary,bytes_4194304_-1,pwritev_full_4m,candidate,3,ABBA,pwritev_full_4m,process,4194303,1024,4
b00204,boundary,bytes_4194304_-1,pwritev_full_4m,baseline,4,ABBA,k_pwrite,process,4194303,1024,4
b00205,boundary,bytes_4194304_-1,pwritev_64_1m,candidate,1,BAAB,pwritev_64_1m,process,4194303,1024,4
b00206,boundary,bytes_4194304_-1,pwritev_64_1m,baseline,2,BAAB,k_pwrite,process,4194303,1024,4
b00207,boundary,bytes_4194304_-1,pwritev_64_1m,baseline,3,BAAB,k_pwrite,process,4194303,1024,4
b00208,boundary,bytes_4194304_-1,pwritev_64_1m,candidate,4,BAAB,pwritev_64_1m,process,4194303,1024,4
b00209,boundary,bytes_4194304_-1,copy_contiguous,baseline,1,ABBA,k_pwrite,process,4194303,1024,4
b00210,boundary,bytes_4194304_-1,copy_contiguous,candidate,2,ABBA,copy_contiguous,process,4194303,1024,4
b00211,boundary,bytes_4194304_-1,copy_contiguous,candidate,3,ABBA,copy_contiguous,process,4194303,1024,4
b00212,boundary,bytes_4194304_-1,copy_contiguous,baseline,4,ABBA,k_pwrite,process,4194303,1024,4
b00213,boundary,bytes_4194304_+0,pwritev_full_1m,candidate,1,BAAB,pwritev_full_1m,process,4194304,1024,4
b00214,boundary,bytes_4194304_+0,pwritev_full_1m,baseline,2,BAAB,k_pwrite,process,4194304,1024,4
b00215,boundary,bytes_4194304_+0,pwritev_full_1m,baseline,3,BAAB,k_pwrite,process,4194304,1024,4
b00216,boundary,bytes_4194304_+0,pwritev_full_1m,candidate,4,BAAB,pwritev_full_1m,process,4194304,1024,4
b00217,boundary,bytes_4194304_+0,pwritev_full_4m,baseline,1,ABBA,k_pwrite,process,4194304,1024,4
b00218,boundary,bytes_4194304_+0,pwritev_full_4m,candidate,2,ABBA,pwritev_full_4m,process,4194304,1024,4
b00219,boundary,bytes_4194304_+0,pwritev_full_4m,candidate,3,ABBA,pwritev_full_4m,process,4194304,1024,4
b00220,boundary,bytes_4194304_+0,pwritev_full_4m,baseline,4,ABBA,k_pwrite,process,4194304,1024,4
b00221,boundary,bytes_4194304_+0,pwritev_64_1m,candidate,1,BAAB,pwritev_64_1m,process,4194304,1024,4
b00222,boundary,bytes_4194304_+0,pwritev_64_1m,baseline,2,BAAB,k_pwrite,process,4194304,1024,4
b00223,boundary,bytes_4194304_+0,pwritev_64_1m,baseline,3,BAAB,k_pwrite,process,4194304,1024,4
b00224,boundary,bytes_4194304_+0,pwritev_64_1m,candidate,4,BAAB,pwritev_64_1m,process,4194304,1024,4
b00225,boundary,bytes_4194304_+0,copy_contiguous,baseline,1,ABBA,k_pwrite,process,4194304,1024,4
b00226,boundary,bytes_4194304_+0,copy_contiguous,candidate,2,ABBA,copy_contiguous,process,4194304,1024,4
b00227,boundary,bytes_4194304_+0,copy_contiguous,candidate,3,ABBA,copy_contiguous,process,4194304,1024,4
b00228,boundary,bytes_4194304_+0,copy_contiguous,baseline,4,ABBA,k_pwrite,process,4194304,1024,4
b00229,boundary,bytes_4194304_+1,pwritev_full_1m,candidate,1,BAAB,pwritev_full_1m,process,4194305,1024,4
b00230,boundary,bytes_4194304_+1,pwritev_full_1m,baseline,2,BAAB,k_pwrite,process,4194305,1024,4
b00231,boundary,bytes_4194304_+1,pwritev_full_1m,baseline,3,BAAB,k_pwrite,process,4194305,1024,4
b00232,boundary,bytes_4194304_+1,pwritev_full_1m,candidate,4,BAAB,pwritev_full_1m,process,4194305,1024,4
b00233,boundary,bytes_4194304_+1,pwritev_full_4m,baseline,1,ABBA,k_pwrite,process,4194305,1024,4
b00234,boundary,bytes_4194304_+1,pwritev_full_4m,candidate,2,ABBA,pwritev_full_4m,process,4194305,1024,4
b00235,boundary,bytes_4194304_+1,pwritev_full_4m,candidate,3,ABBA,pwritev_full_4m,process,4194305,1024,4
b00236,boundary,bytes_4194304_+1,pwritev_full_4m,baseline,4,ABBA,k_pwrite,process,4194305,1024,4
b00237,boundary,bytes_4194304_+1,pwritev_full_8m,candidate,1,BAAB,pwritev_full_8m,process,4194305,1024,4
b00238,boundary,bytes_4194304_+1,pwritev_full_8m,baseline,2,BAAB,k_pwrite,process,4194305,1024,4
b00239,boundary,bytes_4194304_+1,pwritev_full_8m,baseline,3,BAAB,k_pwrite,process,4194305,1024,4
b00240,boundary,bytes_4194304_+1,pwritev_full_8m,candidate,4,BAAB,pwritev_full_8m,process,4194305,1024,4
b00241,boundary,bytes_4194304_+1,pwritev_256_1m,baseline,1,ABBA,k_pwrite,process,4194305,1024,4
b00242,boundary,bytes_4194304_+1,pwritev_256_1m,candidate,2,ABBA,pwritev_256_1m,process,4194305,1024,4
b00243,boundary,bytes_4194304_+1,pwritev_256_1m,candidate,3,ABBA,pwritev_256_1m,process,4194305,1024,4
b00244,boundary,bytes_4194304_+1,pwritev_256_1m,baseline,4,ABBA,k_pwrite,process,4194305,1024,4
b00245,boundary,bytes_4194304_+1,pwritev_256_4m,candidate,1,BAAB,pwritev_256_4m,process,4194305,1024,4
b00246,boundary,bytes_4194304_+1,pwritev_256_4m,baseline,2,BAAB,k_pwrite,process,4194305,1024,4
b00247,boundary,bytes_4194304_+1,pwritev_256_4m,baseline,3,BAAB,k_pwrite,process,4194305,1024,4
b00248,boundary,bytes_4194304_+1,pwritev_256_4m,candidate,4,BAAB,pwritev_256_4m,process,4194305,1024,4
b00249,boundary,bytes_4194304_+1,pwritev_64_1m,baseline,1,ABBA,k_pwrite,process,4194305,1024,4
b00250,boundary,bytes_4194304_+1,pwritev_64_1m,candidate,2,ABBA,pwritev_64_1m,process,4194305,1024,4
