cell,engine,mode,payload,batch,writers,bpw,shape,rep,ev_s,wall_s,p50_us,p99_us,fsyncs,mean_fsync_us
group-p250-b100,b0,group,250,100,4,500,perwriter,1,131054,1.5261,2887.3,6242.5,503,2628.7
group-p250-b100,log,group,250,100,4,500,perwriter,1,128755,1.5533,2908.8,6102.9,514,2632.5
group-p250-b100,bare,group,250,100,4,500,perwriter,1,144834,1.3809,2684.4,5786.0,502,2604.7
group-p250-b100,bare,group,250,100,4,500,perwriter,2,143055,1.3981,2675.7,5801.4,503,2644.2
group-p250-b100,log,group,250,100,4,500,perwriter,2,121106,1.6514,2908.6,6813.5,546,2667.3
group-p250-b100,b0,group,250,100,4,500,perwriter,2,127225,1.5720,2919.0,6039.0,501,2731.4
group-p250-b100,b1,group,250,100,4,500,perwriter,2,115308,1.7345,3022.8,5939.1,501,3071.5
group-p250-b100,b0d,group,250,100,4,500,perwriter,2,133651,1.4964,2871.2,6088.1,501,2619.3
group-p250-b100,b0dth,group,250,100,4,500,perwriter,2,134865,1.4830,2882.0,6007.1,500,2626.7
proc-rr1024,bare,process,250,10,4,12500,rr1024,0,1905218,0.2624,18.8,31.7,0,0.0
proc-rr1024,log,process,250,10,4,12500,rr1024,0,447466,1.1174,79.6,169.8,0,0.0
proc-rr1024,b0,process,250,10,4,12500,rr1024,0,668386,0.7481,52.2,104.5,0,0.0
proc-rr1024,b1,process,250,10,4,12500,rr1024,0,787020,0.6353,45.4,77.4,0,0.0
proc-rr1024,b0d,process,250,10,4,12500,rr1024,0,1125812,0.4441,30.9,61.2,0,0.0
proc-rr1024,b0dth,process,250,10,4,12500,rr1024,0,1342200,0.3725,27.2,45.4,0,0.0
proc-rr1024,b0dth,process,250,10,4,12500,rr1024,1,1305361,0.3830,26.8,44.8,0,0.0
proc-rr1024,b0d,process,250,10,4,12500,rr1024,1,1114714,0.4485,31.6,59.3,0,0.0
proc-rr1024,b1,process,250,10,4,12500,rr1024,1,773114,0.6467,44.7,94.1,0,0.0
proc-rr1024,b0,process,250,10,4,12500,rr1024,1,693455,0.7210,51.9,89.9,0,0.0
proc-rr1024,log,process,250,10,4,12500,rr1024,1,476601,1.0491,76.9,134.0,0,0.0
proc-rr1024,bare,process,250,10,4,12500,rr1024,1,1938408,0.2579,18.6,31.5,0,0.0
