cell,engine,mode,payload,batch,writers,bpw,kind,seg_mb,rep,ev_s,per_append_us,wall_s,p50_us,p99_us,fsyncs,mean_fsync_us,load1
group-p24-b100-w4,logsp,group,24,100,4,300,stable,256,2,146939,680.5538,0.8167,2666.3,2925.7,301,2479.4,4.80
group-p24-b100-w4,b0d,group,24,100,4,300,stable,256,2,138844,720.2332,0.8643,2766.1,5903.2,300,2577.3,4.58
group-p24-b100-w4,b0dth,group,24,100,4,300,stable,256,2,142747,700.5396,0.8406,2755.6,4569.3,301,2509.8,4.21
proc-p24-b1000-w1,bare,process,24,1000,1,250,stable,256,0,3138613,318.6121,0.0797,59.5,112.3,0,0.0,4.21
proc-p24-b1000-w1,log,process,24,1000,1,250,stable,256,0,2865810,348.9415,0.0872,269.8,345.1,0,0.0,4.21
proc-p24-b1000-w1,logsp,process,24,1000,1,250,stable,256,0,2874963,347.8306,0.0870,278.7,406.3,0,0.0,4.21
proc-p24-b1000-w1,b0d,process,24,1000,1,250,stable,256,0,3213553,311.1821,0.0778,199.2,293.8,0,0.0,4.27
proc-p24-b1000-w1,b0dth,process,24,1000,1,250,stable,256,0,3984325,250.9836,0.0627,91.8,142.4,0,0.0,4.27
proc-p24-b1000-w1,b0dth,process,24,1000,1,250,stable,256,1,3999508,250.0308,0.0625,89.5,103.7,0,0.0,4.27
proc-p24-b1000-w1,b0d,process,24,1000,1,250,stable,256,1,2881411,347.0522,0.0868,241.5,354.9,0,0.0,4.27
proc-p24-b1000-w1,logsp,process,24,1000,1,250,stable,256,1,3039084,329.0465,0.0823,252.6,364.7,0,0.0,4.27
proc-p24-b1000-w1,log,process,24,1000,1,250,stable,256,1,2843520,351.6768,0.0879,261.1,500.0,0,0.0,4.27
proc-p24-b1000-w1,bare,process,24,1000,1,250,stable,256,1,3396732,294.4006,0.0736,61.0,120.5,0,0.0,4.27
proc-p24-b1000-w1,bare,process,24,1000,1,250,stable,256,2,3275412,305.3051,0.0763,54.8,126.0,0,0.0,4.27
proc-p24-b1000-w1,log,process,24,1000,1,250,stable,256,2,2703357,369.9105,0.0925,287.3,404.4,0,0.0,4.27
proc-p24-b1000-w1,logsp,process,24,1000,1,250,stable,256,2,2916259,342.9051,0.0857,253.6,731.6,0,0.0,4.17
proc-p24-b1000-w1,b0d,process,24,1000,1,250,stable,256,2,3601980,277.6251,0.0694,173.5,312.8,0,0.0,4.17
proc-p24-b1000-w1,b0dth,process,24,1000,1,250,stable,256,2,4658980,214.6392,0.0537,93.5,216.7,0,0.0,4.17
group-p24-b1000-w1,bare,group,24,1000,1,100,stable,256,0,358643,2788.2918,0.2788,2565.1,2700.5,100,2499.0,4.08
group-p24-b1000-w1,log,group,24,1000,1,100,stable,256,0,346603,2885.1468,0.2885,2747.6,3956.6,100,2537.5,4.08
group-p24-b1000-w1,logsp,group,24,1000,1,100,stable,256,0,328612,3043.1038,0.3043,2753.5,5918.1,100,2686.8,3.99
group-p24-b1000-w1,b0d,group,24,1000,1,100,stable,256,0,340310,2938.4939,0.2938,2850.6,3160.8,100,2506.5,3.75
group-p24-b1000-w1,b0dth,group,24,1000,1,100,stable,256,0,342228,2922.0312,0.2922,2791.6,3736.9,100,2531.6,3.61
group-p24-b1000-w1,b0dth,group,24,1000,1,100,stable,256,1,349668,2859.8563,0.2860,2779.8,2948.6,100,2497.9,3.48
group-p24-b1000-w1,b0d,group,24,1000,1,100,stable,256,1,294140,3399.7465,0.3400,2892.7,9142.2,100,2943.2,3.36
group-p24-b1000-w1,logsp,group,24,1000,1,100,stable,256,1,331238,3018.9784,0.3019,2726.9,5838.2,100,2691.4,3.25
group-p24-b1000-w1,log,group,24,1000,1,100,stable,256,1,308028,3246.4570,0.3246,2829.9,4833.9,100,2889.5,3.15
group-p24-b1000-w1,bare,group,24,1000,1,100,stable,256,1,325087,3076.0963,0.3076,2601.1,5871.4,100,2813.6,3.06
group-p24-b1000-w1,bare,group,24,1000,1,100,stable,256,2,331271,3018.6754,0.3019,2612.6,4294.9,100,2751.2,3.06
