point_id,phase,comparison,role,repetition,slot,order,variant,mode,payload,events_per_batch,owner_intents,writers,unit_shape,feed_source,feed_weight
e000181,exploratory,copy_contiguous,candidate,1,1,BAAB,copy_contiguous,process,24,10,4,4,domain,synthetic_sweep,1
e000182,exploratory,copy_contiguous,baseline,1,2,BAAB,k_pwrite,process,24,10,4,4,domain,synthetic_sweep,1
e000183,exploratory,copy_contiguous,baseline,1,3,BAAB,k_pwrite,process,24,10,4,4,domain,synthetic_sweep,1
e000184,exploratory,copy_contiguous,candidate,1,4,BAAB,copy_contiguous,process,24,10,4,4,domain,synthetic_sweep,1
e000185,exploratory,pwritev_full_8m,baseline,1,1,ABBA,k_pwrite,process,24,10,4,4,new_name,synthetic_sweep,1
e000186,exploratory,pwritev_full_8m,candidate,1,2,ABBA,pwritev_full_8m,process,24,10,4,4,new_name,synthetic_sweep,1
e000187,exploratory,pwritev_full_8m,candidate,1,3,ABBA,pwritev_full_8m,process,24,10,4,4,new_name,synthetic_sweep,1
e000188,exploratory,pwritev_full_8m,baseline,1,4,ABBA,k_pwrite,process,24,10,4,4,new_name,synthetic_sweep,1
e000189,exploratory,copy_contiguous,candidate,1,1,BAAB,copy_contiguous,process,24,10,4,4,new_name,synthetic_sweep,1
e000190,exploratory,copy_contiguous,baseline,1,2,BAAB,k_pwrite,process,24,10,4,4,new_name,synthetic_sweep,1
e000191,exploratory,copy_contiguous,baseline,1,3,BAAB,k_pwrite,process,24,10,4,4,new_name,synthetic_sweep,1
e000192,exploratory,copy_contiguous,candidate,1,4,BAAB,copy_contiguous,process,24,10,4,4,new_name,synthetic_sweep,1
e000193,exploratory,pwritev_full_8m,baseline,1,1,ABBA,k_pwrite,process,24,10,16,4,domain,synthetic_sweep,1
e000194,exploratory,pwritev_full_8m,candidate,1,2,ABBA,pwritev_full_8m,process,24,10,16,4,domain,synthetic_sweep,1
e000195,exploratory,pwritev_full_8m,candidate,1,3,ABBA,pwritev_full_8m,process,24,10,16,4,domain,synthetic_sweep,1
e000196,exploratory,pwritev_full_8m,baseline,1,4,ABBA,k_pwrite,process,24,10,16,4,domain,synthetic_sweep,1
e000197,exploratory,copy_contiguous,candidate,1,1,BAAB,copy_contiguous,process,24,10,16,4,domain,synthetic_sweep,1
e000198,exploratory,copy_contiguous,baseline,1,2,BAAB,k_pwrite,process,24,10,16,4,domain,synthetic_sweep,1
e000199,exploratory,copy_contiguous,baseline,1,3,BAAB,k_pwrite,process,24,10,16,4,domain,synthetic_sweep,1
e000200,exploratory,copy_contiguous,candidate,1,4,BAAB,copy_contiguous,process,24,10,16,4,domain,synthetic_sweep,1
e000201,exploratory,pwritev_full_8m,baseline,1,1,ABBA,k_pwrite,process,24,10,16,4,new_name,synthetic_sweep,1
e000202,exploratory,pwritev_full_8m,candidate,1,2,ABBA,pwritev_full_8m,process,24,10,16,4,new_name,synthetic_sweep,1
e000203,exploratory,pwritev_full_8m,candidate,1,3,ABBA,pwritev_full_8m,process,24,10,16,4,new_name,synthetic_sweep,1
e000204,exploratory,pwritev_full_8m,baseline,1,4,ABBA,k_pwrite,process,24,10,16,4,new_name,synthetic_sweep,1
e000205,exploratory,copy_contiguous,candidate,1,1,BAAB,copy_contiguous,process,24,10,16,4,new_name,synthetic_sweep,1
e000206,exploratory,copy_contiguous,baseline,1,2,BAAB,k_pwrite,process,24,10,16,4,new_name,synthetic_sweep,1
e000207,exploratory,copy_contiguous,baseline,1,3,BAAB,k_pwrite,process,24,10,16,4,new_name,synthetic_sweep,1
e000208,exploratory,copy_contiguous,candidate,1,4,BAAB,copy_contiguous,process,24,10,16,4,new_name,synthetic_sweep,1
e000209,exploratory,pwritev_full_8m,baseline,1,1,ABBA,k_pwrite,process,24,10,64,4,domain,synthetic_sweep,1
e000210,exploratory,pwritev_full_8m,candidate,1,2,ABBA,pwritev_full_8m,process,24,10,64,4,domain,synthetic_sweep,1
e000211,exploratory,pwritev_full_8m,candidate,1,3,ABBA,pwritev_full_8m,process,24,10,64,4,domain,synthetic_sweep,1
e000212,exploratory,pwritev_full_8m,baseline,1,4,ABBA,k_pwrite,process,24,10,64,4,domain,synthetic_sweep,1
e000213,exploratory,copy_contiguous,candidate,1,1,BAAB,copy_contiguous,process,24,10,64,4,domain,synthetic_sweep,1
